arm,seeds_done,seeds_total,top1_mean,top1_std,d_mean_pp,d_min_pp,agree2,d4_pp,flip_agree,mCA,params_M,gflops,thpt_ratio,WARN,GATE
a5_remix,1,1,0.6256999969482422,,1.1699974536895752,1.1699974536895752,0.7679500132799149,-2.1274998784065247,0.932799994945526,0.5086826666666667,5.405236,0.68423424,,,PROMOTE
b3_nested,1,1,0.6202999949455261,,0.6299972534179688,0.6299972534179688,0.7764750123023987,-1.9100010395050049,0.932699978351593,0.5051293333333333,6.711496,0.850564608,,,PROMOTE
a4_res,1,1,0.620199978351593,,0.6199955940246582,0.6199955940246582,0.7698749899864197,-2.097499370574951,0.9384999871253968,0.5086906666666666,6.625768,0.841127424,,,PROMOTE
a2,1,1,0.6191999912261963,,0.5199968814849854,0.5199968814849854,0.7704249918460846,-2.0500004291534424,0.9276000261306764,0.5032786666666667,5.4274,0.685413888,,,PROMOTE
b1_prior,1,1,0.6190999746322632,,0.5099952220916748,0.5099952220916748,0.7705749869346619,-1.9000008702278137,0.932099997997284,0.5042639999999999,5.667016,0.710579712,,,PROMOTE
a3,1,1,0.6186000108718872,,0.45999884605407715,0.45999884605407715,0.7738000005483627,-2.1475017070770264,0.9179999828338624,0.5039426666666666,5.445928,0.687773184,,,PROMOTE
b2_regional,1,1,0.618399977684021,,0.43999552726745605,0.43999552726745605,0.7769000083208084,-1.815001666545868,0.9258999824523926,0.502288,6.418888,0.74518272,,,PROMOTE
b1_sigmoid,1,1,0.6173999905586243,,0.3399968147277832,0.3399968147277832,0.7764750123023987,-1.7450004816055298,0.9283999800682068,0.5009013333333333,5.617864,0.710579712,,,
b1_gain4,1,1,0.6172000169754028,,0.31999945640563965,0.31999945640563965,0.7680999934673309,-1.7875000834465027,0.9316999912261964,0.5038266666666666,5.617864,0.710579712,,,
b1_bank,1,1,0.6169999837875366,,0.29999613761901855,0.29999613761901855,0.7731750011444092,-1.7449989914894104,0.9329000115394592,0.5029293333333332,5.617864,0.710579712,,,
a0_depth13,1,1,0.616599977016449,,0.2599954605102539,0.2599954605102539,0.7721749991178513,-2.105000615119934,0.9196000099182128,0.5021373333333333,5.829604,0.7373184,,,
a1,1,1,0.616100013256073,,0.20999908447265625,0.20999908447265625,0.7775750011205673,-1.6425028443336487,0.9162999987602234,0.5055746666666667,5.439784,0.687773184,,,
a0,1,1,0.6140000224113464,,0.0,0.0,0.768650010228157,-1.9850000739097595,0.9286999702453612,0.498508,5.384356,0.680695296,,,
b2_replace,1,1,0.6090999841690063,,-0.4900038242340088,-0.4900038242340088,0.7624499946832657,-2.1649986505508423,0.9151999950408936,0.4950653333333334,5.97418,0.688559616,,,
